name,phone,website,address,rating,reviews,city,state,category,place_id,business_status
Visol India - Solar Panel Installation Company in Mumbai,091522 31361,https://visolindia.com/,"Kailas Business Park, Vikhroli (W, HMPL Surya Nagar, Vikhroli West, Mumbai, Maharashtra 400079, India",4.9,47,Mumbai,Maharashtra,Residential Solar Installers,ChIJ8za_dOrH5zsRuDBNTI4lQGc,OPERATIONAL
Rising Sun Electric | Solar Panel Installation in Mumbai | Solar EPC | Renewable Energy,070212 13467,https://solarrse.com/,"Somaiya Chember, Swami Vivekanand Rd, opp. Metro Shoes, Malad, Vijaykar Wadi Industrial, Vijaykar Wadi, Malad West, Mumbai, Maharashtra 400064, India",5,47,Mumbai,Maharashtra,Residential Solar Installers,ChIJYQQRUk-35zsReEBqh7w-3Jc,OPERATIONAL
Solar PV in Mumbai,099202 88031,http://www.solarpvmumbai.com/,"61, Aditya Industrial Estate, Evershine Mall, B/h, New Link Rd, Malad, Mindspace, West, Mumbai, Maharashtra 400064, India",5,26,Mumbai,Maharashtra,Residential Solar Installers,ChIJ______C25zsRPoLLXzND7Fc,OPERATIONAL
Deep Solar Tech,088060 60108,https://deepsolartech.com/,"Office no.2 Raghunandan plaza,Mumbai Bangalore, highway, Urit Nagar, Warje, Pune, Maharashtra 411058, India",4.9,116,Mumbai,Maharashtra,Residential Solar Installers,ChIJl69LTSy_wjsRifklUPw4nd4,OPERATIONAL
Priority Solar Solutions Pvt. Ltd. | Solar Rooftop for Industrial and Residential,,http://www.prioritysolarsolutions.com/,"Mahatma Gandhi Rd, Hindustan Naka, Mahatma Gandhi Nagar, Kandivali West, Mumbai, Maharashtra 400067, India",4.9,19,Mumbai,Maharashtra,Residential Solar Installers,ChIJ1VVsNW-35zsRuKWor9HtvBQ,OPERATIONAL
UNISUN Power Solutions Pvt Ltd | India's Best Solar Company,081696 94414,https://unisunpowersolutions.com/,"221, Hari Om Plaza, Mahatma Gandhi Rd, near Omkareshwar Temple, Sukarwadi, Borivali East, Mumbai, Maharashtra 400066, India",4.5,117,Mumbai,Maharashtra,Residential Solar Installers,ChIJzY9hKq6x5zsRj1sNk5LUu6A,OPERATIONAL
ReNova Pulse Energy Pvt. Ltd. | Solar Rooftop for Industrial and Residential,097026 14565,https://www.renovapulseenergy.com/,"KAILASH BUSINESS PARK, A-216, Veer Sawarkar Marg, HMPL सुर्या नगर, विखरवली वेस्ट, मुंबई, महाराष्ट्र 400079, India",4.8,61,Mumbai,Maharashtra,Residential Solar Installers,ChIJTT44xe7H5zsRGVdbjsXf-EY,OPERATIONAL
Go Mumbai Solar LLP EPC,084336 00378,https://mumbaisolar.in/,"Shop No : 14, B Wing , Chuim Village Road, Jai Hind Trimurti CHS, 16th Rd, Pyari Nagar, Hanuman Nagar, Khar West, Mumbai, Maharashtra 400052, India",5,12,Mumbai,Maharashtra,Residential Solar Installers,ChIJe3xzdHTJ5zsRwcN1AV31stE,OPERATIONAL
"Truzon Solar by Suntek Mumbai, Maharashtra",091547 55669,https://www.truzonsolar.com/,"1701, Fairmount, situated, PLOT NO.- 88, 4 and 6, Palm Beach Rd, Sector 17, Sanpada, Navi Mumbai, Maharashtra 400705, India",5,91,Mumbai,Maharashtra,Residential Solar Installers,ChIJu0mKWrjB5zsRa3KL2afxk84,OPERATIONAL
Tech Solar Solutions Pvt. Ltd.,022 2269 3747,http://www.techsolar.org/,"Office No. 10, 2nd Floor, Friends Union Co-op Building Society, 227, P D'Mello Rd, next to Manama Hotel, Indira Docks, Mumbai Port Trust, Mazgaon, Mumbai, Maharashtra 400001, India",5,15,Mumbai,Maharashtra,Residential Solar Installers,ChIJ5Qb72QnR5zsRK_ZbWsoIdV8,OPERATIONAL
