name,phone,website,address,rating,reviews,city,state,category,place_id,business_status
Solar Pulse Jodhpur,097722 22318,https://solarpulse.in/,"Behind Central Bank Of India, Kheme Ka Kua, Pal Rd, Amrit Nagar, Jodhpur, Rajasthan 342003, India",4.9,225,Jodhpur,Rajasthan,Residential Solar Installers,ChIJVVVVVSWFQTkRVZnC6YFIvkI,OPERATIONAL
Vidyut Energy Systems - Solar Panel Installation | Solar Panel Dealer | Exide Solar Panel | Solar Panel Jodhpur,093521 88854,http://vidyutenergy.in/,"72H2+2XH, 11th B Rd, Sardarpura, Jodhpur, Rajasthan 342001, India",4.9,145,Jodhpur,Rajasthan,Residential Solar Installers,ChIJny6CDp-OQTkRvItIdXIKADI,OPERATIONAL
SOLAR JODHPUR,095873 33344,https://www.solarjodhpur.com/,"11/641, Sector 11, Chopasni Housing Board, Jodhpur, Rajasthan 342003, India",4.8,85,Jodhpur,Rajasthan,Residential Solar Installers,ChIJi5_a_6-PQTkRWnyVVADZncE,OPERATIONAL
Venus Renewables Pvt. Ltd.,,,"619, RB Height, Ranveer Bhawan, 9th, Chopasani Rd, Near Bombay Motor Circle, Sardarpura, Jodhpur, Rajasthan 342003, India",4.9,155,Jodhpur,Rajasthan,Residential Solar Installers,ChIJm3GeO8SNQTkR_MQPX3N3lK4,OPERATIONAL
GrIndMech Solar Jodhpur,,,"138, Gandhi Nagar, Mata Ka Than Rd, Mata Ka Than, Rawat Nagar, Jodhpur, Rajasthan 342304, India",5,92,Jodhpur,Rajasthan,Residential Solar Installers,ChIJH7RBdt2NQTkR0pNV3WUiiZE,OPERATIONAL
Harshali Power Solution,,https://harshalipowersolution.com/,"H-3, Opp Milkman Colony Gali No. 8, Pal Rd, Milkman Colony, Jodhpur, Rajasthan 342003, India",5,29,Jodhpur,Rajasthan,Residential Solar Installers,ChIJwX2KxUCNQTkRDyu_32LvYA0,OPERATIONAL
Pareek Solar Solutions - Jodhpur,,,"Office No. 3 , Street No. 1 Main Sangriya Salawas Road, Circle, Phase 1st, Sangriya, Sangariya, Jodhpur, Rajasthan 342013, India",5,42,Jodhpur,Rajasthan,Residential Solar Installers,ChIJ_X2QesWLQTkR-kdG0j3rYaM,OPERATIONAL
Satyam Solar Energy,097840 85724,,"3/M/27-28, Sector 3, Kudi Bhagtasni Housing Board, Jodhpur, Rajasthan 342005, India",4.7,85,Jodhpur,Rajasthan,Residential Solar Installers,ChIJaUjROd6LQTkR_1374wHwCgQ,OPERATIONAL
Bhatnagar Solar Enterprise,082391 94102,,"Bheru Vilas, 16-A, near air force, Vidyavihar, Jodhpur, Rajasthan 342001, India",5,35,Jodhpur,Rajasthan,Residential Solar Installers,ChIJY4aaSvaNQTkRC0xup-p0Grk,OPERATIONAL
Solaire point Jodhpur,,,"1st Floor, 12/1, near Vasundhara Hospital, Sector 12, Chopasni Housing Board, Jodhpur, Rajasthan 342001, India",5,47,Jodhpur,Rajasthan,Residential Solar Installers,ChIJ6605rxWPQTkR3ZN7l59pnwM,OPERATIONAL
Solar Pulse Jodhpur,097722 22318,https://solarpulse.in/,"Behind Central Bank Of India, Kheme Ka Kua, Pal Rd, Amrit Nagar, Jodhpur, Rajasthan 342003, India",4.9,225,Jodhpur,Rajasthan,Commercial Solar Installers,ChIJVVVVVSWFQTkRVZnC6YFIvkI,OPERATIONAL
