name,phone,website,address,rating,reviews,city,state,category,place_id,business_status
Visol India - Solar Panel Installation Company in Mumbai,091522 31361,https://visolindia.com/,"Kailas Business Park, Vikhroli (W, HMPL Surya Nagar, Vikhroli West, Mumbai, Maharashtra 400079, India",4.9,47,Mumbai,Maharashtra,Residential Solar Installers,ChIJ8za_dOrH5zsRuDBNTI4lQGc,OPERATIONAL
Solar PV in Mumbai,099202 88031,http://www.solarpvmumbai.com/,"61, Aditya Industrial Estate, Evershine Mall, B/h, New Link Rd, Malad, Mindspace, West, Mumbai, Maharashtra 400064, India",5,26,Mumbai,Maharashtra,Residential Solar Installers,ChIJ______C25zsRPoLLXzND7Fc,OPERATIONAL
Rising Sun Electric | Solar Panel Installation in Mumbai | Solar EPC | Renewable Energy,070212 13467,https://solarrse.com/,"Somaiya Chember, Swami Vivekanand Rd, opp. Metro Shoes, Malad, Vijaykar Wadi Industrial, Vijaykar Wadi, Malad West, Mumbai, Maharashtra 400064, India",5,47,Mumbai,Maharashtra,Residential Solar Installers,ChIJYQQRUk-35zsReEBqh7w-3Jc,OPERATIONAL
UNISUN Power Solutions Pvt Ltd | India's Best Solar Company,081696 94414,https://unisunpowersolutions.com/,"221, Hari Om Plaza, Mahatma Gandhi Rd, near Omkareshwar Temple, Sukarwadi, Borivali East, Mumbai, Maharashtra 400066, India",4.5,117,Mumbai,Maharashtra,Residential Solar Installers,ChIJzY9hKq6x5zsRj1sNk5LUu6A,OPERATIONAL
ReNova Pulse Energy Pvt. Ltd. | Solar Rooftop for Industrial and Residential,097026 14565,https://www.renovapulseenergy.com/,"KAILASH BUSINESS PARK, A-216, Veer Sawarkar Marg, HMPL सुर्या नगर, विखरवली वेस्ट, मुंबई, महाराष्ट्र 400079, India",4.8,61,Mumbai,Maharashtra,Residential Solar Installers,ChIJTT44xe7H5zsRGVdbjsXf-EY,OPERATIONAL
Priority Solar Solutions Pvt. Ltd. | Solar Rooftop for Industrial and Residential,,http://www.prioritysolarsolutions.com/,"Mahatma Gandhi Rd, Hindustan Naka, Mahatma Gandhi Nagar, Kandivali West, Mumbai, Maharashtra 400067, India",4.9,19,Mumbai,Maharashtra,Residential Solar Installers,ChIJ1VVsNW-35zsRuKWor9HtvBQ,OPERATIONAL
Avni Solar,084337 99330,http://www.avnisolar.in/,"Master Mind, A321, Royal Palms, Aarey Milk Colony, Goregaon, Mumbai, Maharashtra 400065, India",5,41,Mumbai,Maharashtra,Residential Solar Installers,ChIJ4zlb_aG35zsR3xcYD_xKYyk,OPERATIONAL
Go Mumbai Solar LLP EPC,084336 00378,https://mumbaisolar.in/,"Shop No : 14, B Wing , Chuim Village Road, Jai Hind Trimurti CHS, 16th Rd, Pyari Nagar, Hanuman Nagar, Khar West, Mumbai, Maharashtra 400052, India",5,12,Mumbai,Maharashtra,Residential Solar Installers,ChIJe3xzdHTJ5zsRwcN1AV31stE,OPERATIONAL
Tech Solar Solutions Pvt. Ltd.,022 2269 3747,http://www.techsolar.org/,"Office No. 10, 2nd Floor, Friends Union Co-op Building Society, 227, P D'Mello Rd, next to Manama Hotel, Indira Docks, Mumbai Port Trust, Mazgaon, Mumbai, Maharashtra 400001, India",5,15,Mumbai,Maharashtra,Residential Solar Installers,ChIJ5Qb72QnR5zsRK_ZbWsoIdV8,OPERATIONAL
Nikev Energies | Solar Rooftop System in Mumbai | Solar Panel | Solar Installation | Solar Inverter,086558 04599,http://nikevenergies.com/,"Ground Floor, Shree Naman Plaza, Swami Vivekanand Rd, near Rajguru Flyover, Kandivali, Bhadran Nagar, Kandivali West, Mumbai, Maharashtra 400067, India",4.5,16,Mumbai,Maharashtra,Residential Solar Installers,ChIJwdll9uu35zsRbfcSMljJMbw,OPERATIONAL
NUCLEUS POWER SOLUTIONS-Best Inverter Battery Supplier in Navi Mumbai,090762 62727,,"Office 106, Annexe, Plot No - 18, Nilesh Chambers, Palm Beach Rd, Juhu Nagar, Sector 19C, APMC Market 1, Vashi, Navi Mumbai, Maharashtra 400703, India",4.9,113,Mumbai,Maharashtra,Solar Inverter Specialists,ChIJ96X9WKLD5zsRcXi-qBExMe8,OPERATIONAL
Phoenix Power Solution / Inverter Battery Dealer / Exide Batteries Wholesaler In Dombivali,070215 36918,http://www.phoenixpowersolution.com/,"Shop No 6 Jay Maruti Darshan Building CHS Chheda Road, Phadke Rd, nr. Ganpati Mandir, Pendse Nagar, Dombivli East, Dombivli, Maharashtra 421201, India",4.9,304,Mumbai,Maharashtra,Solar Inverter Specialists,ChIJCW2qX8iV5zsRwICpAtPC8xI,OPERATIONAL
PowerCare Techno Solutions - UPS Battery Manufacturer Dealer & Distributor in Mumbai,,,"Sahyadri Nagar, RC Marg, Vashinaka, Chembur, Mumbai, Maharashtra 400074, India",5,20,Mumbai,Maharashtra,Solar Inverter Specialists,ChIJkz3SNnrF5zsRqjxTlZgsGFk,OPERATIONAL
